From,To,2013,2014,2015,2016,2017,2018
India,Canada,2130.75,2169.58,2092.97,1824.42,2319.55,2793.65
China,Canada,29197.86,30000.36,29407.03,27854.75,31765.29,35660.22
France,Canada,3945.35,3967.48,3612.83,3393.95,3600.92,4008.82
Germany,Canada,11760,11616.27,11087.75,10567,11077.68,12127.32
Japan,Canada,8697.77,7979.48,7740.59,8178.64,9597,9352.15
US,Canada,300754.87,312420.81,280016.65,265960.65,282116.49,298901.05
UK,Canada,6155.98,6266.61,5824.79,6153.59,6218.21,7289.06
Russian Federation,Canada,471.42,699.58,535.31,419.76,638.87,580.88
Singapore,Canada,1610.83,976.49,749.56,756.42,732.39,946.26
India,China,14516.98,13251.99,9689.94,8946.78,12520.12,16397.29
Canada,China,19886.42,17525.07,15802.46,15817.4,18008.93,21218.06
France,China,19664.12,21411.86,19889.47,17664.78,21392.04,24504
Germany,China,89188.47,99426.21,79730.45,85049.34,98705.93,110547.62
Japan,China,129052.21,126346.82,109215.78,113877.16,132817.04,143998.24
US,China,121721.15,123675.67,116186.26,115775.12,130369.53,120341.43
UK,China,17788.75,25936.71,27426.63,18020.27,21219.52,27553.18
Russian Federation,China,35625.42,37494.31,28606.41,28019.9,38932.48,56079.09
Singapore,China,48537.46,51471.05,48253.87,42249.18,53870.88,50619.19
India,France,5190.01,5095.29,4828.6,4864.37,5032.52,5286.24
Canada,France,3052.23,3003.17,2447.73,2575.94,2580.18,2636.47
China,France,27015.1,28975.69,27048.1,25303.22,28123.92,31247.81
Germany,France,131833.1,133667.6,114041.06,111889.59,119291.37,124560.12
Japan,France,6290.43,5944.96,5261.98,6247.87,6279.94,7072.81
US,France,33873.92,32449.9,31455.08,32438.86,34198.16,37361.04
UK,France,31459.66,30201.16,27125.25,26307.3,30228.65,31924.42
Russian Federation,France,9342.73,7642.94,5818.71,4853.05,5928.66,7785.04
Singapore,France,4853.57,3931.2,3377.99,3273.71,3734.29,4858.01
India,Germany,7426.8,7745.64,7033.87,7174.13,8241.53,8972.85
Canada,Germany,3378.39,2843.96,2822.47,3066.35,3168.32,3711.45
China,Germany,67349,72730.92,69203.67,66044.12,71463.82,78154.62
France,Germany,94551.35,95520.22,80175.37,79996.18,78517.91,84512.92
Japan,Germany,18931.04,19101.95,16234.94,17654.14,18946.34,20893.26
US,Germany,47361.99,49363.34,49946.65,49361.98,53492.76,57653.81
UK,Germany,44443.95,49717.97,46529.93,43764.26,46509.12,47519.92
Russian Federation,Germany,37027.25,37123.6,25353.01,21100.73,25368.8,34002.14
Singapore,Germany,5868.35,5385.56,5548.52,5782.87,6186.1,6413.78
Canada,India,2716.87,2900.54,3328.4,2932.98,2801.57,2819.39
China,India,48445.6,54237.23,58259.17,59435.21,68143.37,77023.16
France,India,3838.48,3870.83,3903.65,4782.06,6417.82,7027
Germany,India,12090.78,11761.19,10761.67,10789.55,12051.68,14734.99
Japan,India,8613.41,8113.81,8104.03,8190.47,8852.75,11016.19
US,India,21811.35,21607.5,21529.61,21688.96,25700.46,33120.08
UK,India,7461.09,6132.12,5869.54,4377.13,5233.39,6582.98
Russian Federation,India,6982.66,6341.11,5568.51,5311.31,6456.57,7755.18
Singapore,India,11271.07,11129.64,10691.21,9760.66,11016.23,12343.35
India,Japan,6763.65,5732.29,4734.94,3827.25,4503.71,4742.6
Canada,Japan,10319.89,9728.33,7624.22,8101.67,9104.71,9965.84
China,Japan,149912.34,149451.72,135897.05,129617.47,137528.61,147564.61
France,Japan,9136.45,9076.46,7026.94,6944.02,7216.51,7869.51
Germany,Japan,22889.08,22687.99,19152.86,20488.06,22559.47,24565.8
US,Japan,65216.09,66827.4,62471.83,63264.26,67695.89,74966.72
UK,Japan,6870.82,6951.31,6458.8,6355.01,7326.65,8315.97
Russian Federation,Japan,19667.51,19854.48,14498.93,9380.59,10623.96,12535.91
Singapore,Japan,17673.88,16753.18,15280.78,14922.33,17150.39,20035.73
India,Russian Federation,2213.08,2215.66,1610.85,1814.45,2141.41,2332.13
Canada,Russian Federation,1348.42,1133.89,451.83,457.56,515.42,436.76
China,Russian Federation,49607.59,53685.68,34810.19,37696.49,43321.24,48073.66
France,Russian Federation,10233.32,9077.76,5034.84,5472.17,6333.35,6340.7
Germany,Russian Federation,47497.39,38952.89,24025.24,23847.52,29173.6,30654.03
Japan,Russian Federation,10995.9,9262.25,5113.52,5121.76,6011.89,7301.47
US,Russian Federation,11144.53,10752.77,7086.66,5797.52,6987.12,6667.64
UK,Russian Federation,6200.62,5559.15,3696.27,3420.55,3640.09,3314.12
Singapore,Russian Federation,471.99,566.53,440.91,796.21,659.96,571.29
India,Singapore,13478.66,9644.91,7702.97,7571.9,11590.97,10428.27
Canada,Singapore,946.78,1186.72,1172.83,1011.91,1040.21,984.81
China,Singapore,45610.69,48706.65,53147.74,47447.42,46233.19,50089.79
