From,To,2013,2014,2015,2016,2017,2018
India,Belgium,6327.51,5884.92,5022.79,5361.33,6215.33,6816.82
Italy,Belgium,15164.72,17521.46,15001.39,14970.96,15229.66,15721.17
Canada,Belgium,2417.53,3194.00,2384.50,2223.42,1698.50,2017.52
China,Belgium,15558.81,17222.47,16220.76,14987.34,15891.10,17177.56
Brazil,Belgium,3593.81,3286.95,2989.69,3233.03,3174.58,3210.48
France,Belgium,44607.92,42537.49,34561.20,34123.91,37481.25,41537.30
Germany,Belgium,56325.76,55825.15,45369.33,46021.43,49930.25,52428.11
Portugal,Belgium,1780.82,1727.44,1256.59,1346.07,1431.00,1562.28
Japan,Belgium,5292.50,5545.31,5120.83,5711.41,5894.07,6807.22
US,Belgium,31927.69,34789.50,34114.72,32271.00,29910.73,31415.75
Switzerland,Belgium,5823.27,6391.91,5821.32,6215.72,6871.05,5472.87
Turkey,Belgium,2835.45,3190.51,2724.27,2728.08,3364.09,4152.55
UK,Belgium,21207.36,20810.82,17725.62,15744.81,17760.52,19097.71
Sweden,Belgium,8246.45,7605.06,6160.98,6501.55,6690.68,6698.45
Russian Federation,Belgium,7726.44,9226.01,6348.23,5740.02,6798.72,9204.40
Saudi Arabia,Belgium,7739.24,7212.90,3984.06,3366.30,4323.89,7826.43
Singapore,Belgium,4597.55,4953.91,5144.57,5998.75,4969.13,5100.93
Spain,Belgium,8336.50,8253.38,7493.90,9220.46,9716.80,10197.99
Norway,Belgium,8130.39,6833.09,5156.74,3793.04,4779.81,6299.06
Netherlands,Belgium,86110.39,84836.44,63285.66,61490.07,70798.71,80255.05
India,Brazil,5412.52,6973.00,3086.58,2300.63,2874.31,3562.77
Italy,Brazil,6738.47,6229.52,4290.13,3539.84,4305.07,4576.37
Canada,Brazil,2383.82,1972.08,1769.99,1543.81,1320.15,1680.49
China,Brazil,36189.69,34925.22,27428.47,22175.71,29256.99,33793.14
Belgium,Brazil,4418.52,4465.17,2920.96,2896.73,3997.41,3806.79
France,Brazil,6829.49,5892.82,5486.09,5022.70,5013.06,5631.57
